name,sex,transcript
Bodomér,male,"('b', 'o', 'd', 'o', 'm', 'e:', 'R2')"
Bodony,male,"('b', 'o', 'd', 'o', 'n', 'n^')"
Bodor,male,"('b', 'o', 'd', 'o', 'R2')"
Bogát,male,"('b', 'o', 'g', 'a:', 't')"
Bogdán,male,"('b', 'o', 'g', 'd', 'a:', 'n')"
Bogumil,male,"('b', 'o', 'g', 'u', 'm', 'i', 'l')"
Bohumil,male,"('b', 'o', 'h', 'u', 'm', 'i', 'l')"
Bohus,male,"('b', 'o', 'h', 'u', 'S')"
Boján,male,"('b', 'o', 'j', 'a:', 'n')"
Bojta,male,"('b', 'o', 'j', 't', 'A')"
Bojtor,male,"('b', 'o', 'j', 't', 'o', 'R2')"
Bojtorján,male,"('b', 'o', 'j', 't', 'o', 'R2', 'j', 'a:', 'n')"
Boldizsár,male,"('b', 'o', 'l', 'd', 'i', 'z', 'Z', 'a:', 'R2')"
Boleszláv,male,"('b', 'o', 'l', 'E', 's', 'S', 'l', 'a:', 'v')"
Bolivár,male,"('b', 'o', 'l', 'i', 'v', 'a:', 'R2')"
Bolyk,male,"('b', 'o', 'l', 'j', 'k')"
Bonaventúra,male,"('b', 'o', 'n', 'A', 'v', 'E', 'n', 't', 'u:', 'R2', 'ra', 'b', 'o', 'n', 'A', 'v', 'E', 'n', 't', 'u:')"
Bonca,male,"('b', 'o', 'n', 'ts', 'A')"
Bongor,male,"('b', 'o', 'n', '(g', 'g', 'o', 'R2')"
Bonifác,male,"('b', 'o', 'n', 'i', 'f', 'a:', 'ts')"
Bónis,male,"('b', 'o:', 'n', 'i', 'S')"
Bónó,male,"('b', 'o:', 'n', 'o:')"
Borbás,male,"('b', 'o', 'R2', 'b', 'a:', 'S')"
Borisz,male,"('b', 'o', 'R2', 'i', 's', 'S')"
Borocs,male,"('b', 'o', 'R2', 'o', 'tS', 'ts')"
Boromir,male,"('b', 'o', 'R2', 'o', 'm', 'i', 'R2')"
Boroszló,male,"('b', 'o', 'R2', 'o', 's', 'S', 'l', 'o:')"
Bors,male,"('b', 'o', 'R2', 'S')"
Borsa,male,"('b', 'o', 'R2', 'S', 'A')"
Botár,male,"('b', 'o', 't', 'a:', 'R2')"
Botir,male,"('b', 'o', 't', 'i', 'R2')"
Botond,male,"('b', 'o', 't', 'o', 'n', 'd')"
Botos,male,"('b', 'o', 't', 'o', 'S')"
Bottyán,male,"('b', 'o', 't:', 'c:', 't', 'a:', 'n')"
Bozsidár,male,"('b', 'o', 'z', 'Z', 'i', 'd', 'a:', 'R2')"
Bozsó,male,"('b', 'o', 'z', 'Z', 'o:')"
Bökény,male,"('b', 'Y', 'k', 'e:', 'n', 'n^')"
Böngér,male,"('b', 'Y', 'n', '(g', 'g', 'e:', 'R2')"
Brájen,male,"('b', 'R2', 'a:', 'j', 'E', 'n')"
Bránkó,male,"('b', 'R2', 'a:', 'n', '(k', 'k', 'o:')"
Brendon,male,"('b', 'R2', 'E', 'n', 'd', 'o', 'n')"
Brett,male,"('b', 'R2', 'E', 't:', 't')"
Brúnó,male,"('b', 'R2', 'u:', 'n', 'o:')"
Brútusz,male,"('b', 'R2', 'u:', 't', 'u', 's', 'S')"
Buda,male,"('b', 'u', 'd', 'A')"
Bulcsú,male,"('b', 'u', 'l', 'tS', 'ts', 'u:')"
Buldus,male,"('b', 'u', 'l', 'd', 'u', 'S')"
Burak,male,"('b', 'u', 'R2', 'A', 'k')"
Buzád,male,"('b', 'u', 'z', 'a:', 'd')"
Buzát,male,"('b', 'u', 'z', 'a:', 't')"
Cádók,male,"('ts', 'a:', 'd', 'o:', 'k')"
Cecilián,male,"('ts', 'E', 'ts', 'i', 'l', 'i', 'a:', 'n')"
Celesztin,male,"('ts', 'E', 'l', 'E', 's', 'S', 't', 'i', 'n')"
Cézár,male,"('ts', 'e:', 'z', 'a:', 'R2')"
Ciceró,male,"('ts', 'i', 'ts', 'E', 'R2', 'o:')"
Ciprián,male,"('ts', 'i', 'p', 'R2', 'i', 'a:', 'n')"
